,challenge,understanding,inclusion,leadership,work,work_from_home,rights,burnout,issue,fatigue,awareness,skill,communication,result,learning,mental_health,discrimination,tolerance,advocacy,acceptance,new_normal,accessibility,lockdown,anxiety,depression,home_schooling,job,support,workplace,training,productivity,career,diversity,rest,pandemic,project,permanent,role,policy,isolation,meeting,task,employment,fear,recovery,compliance,balance,coaching,empathy,head,social_distancing,goal,position,manager,overload,accountability,deadline,shift,problem,target,management,routine,growth,remote_work,stress,commitment,online_learning,remote_learning,quarantine,mastery,mentorship,harassment,accommodation,resilience,discussion,shutdown,regulation,boss,feedback,standard,partnership,loneliness,coordinator,performance,development,direction,difficulty,frustration,law,break,oversight,equity,director,hours,dedication,collaboration,reopening,cooperation,rule,contract,leave,responsibility,office,sensory_environment,telecommuting,unemployment,sensitivity,achievement,guidance,virtual_work,containment,pressure,hurdle,team_leader,promotion,objective,occupation,expertise,chief,officer,virtual_meeting,ethics,freelance,flexibility,output,interaction,profession,fairness,obstacle,vacation,home_office,stability,honesty,efficiency,schedule,integrity,milestone,adjustment,vocation,supervisor,time_off,temporary,reliability,leisure,teamwork,boredom,uncertainty,appraisal,furlough,supervision,workload,lifting,assignment,advancement,cubicle,synergy,guideline,competency,desk,administrator,relaxation,procedure,health_crisis,loyalty,economic_impact,confinement,downtime,overtime,restriction,subordinate,digital_workspace,punctuality,outbreak,job_loss,online_platform,flexible_schedule,workstation,virtual_collaboration
2021-07-28,2.0,3.0,11.0,2.0,10.0,,,,6.0,1.0,9.0,,3.0,,10.0,27.0,1.0,,3.0,3.0,,,4.0,8.0,1.0,,2.0,17.0,12.0,4.0,2.0,3.0,12.0,,4.0,2.0,,1.0,,,1.0,,2.0,1.0,1.0,,,,,2.0,,,,,2.0,,,,1.0,,2.0,,1.0,,,1.0,,,,,,,,3.0,1.0,,,,,,,,,1.0,2.0,,,1.0,,4.0,,,,,,1.0,,,,,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,1.0,3.0,13.0,1.0,14.0,1.0,1.0,,1.0,,8.0,1.0,,,7.0,14.0,1.0,,3.0,6.0,,1.0,,3.0,2.0,,4.0,9.0,10.0,,,3.0,9.0,,1.0,,,1.0,,,1.0,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,4.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-03,1.0,4.0,4.0,1.0,20.0,,,,1.0,,12.0,,2.0,,9.0,16.0,2.0,,2.0,5.0,,3.0,1.0,6.0,1.0,,4.0,7.0,5.0,2.0,1.0,,10.0,,1.0,,,1.0,,,1.0,,3.0,,,,,3.0,1.0,,,1.0,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,1.0,,3.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,3.0,2.0,12.0,2.0,15.0,,,,,,3.0,,3.0,,9.0,9.0,1.0,,,,,2.0,1.0,2.0,,,2.0,12.0,23.0,5.0,1.0,1.0,9.0,,,5.0,,,,,1.0,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,1.0,,,2.0,,,1.0,,1.0,3.0,,1.0,2.0,1.0,,,,,2.0,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,1.0,10.0,5.0,,9.0,,,,1.0,,12.0,,3.0,1.0,10.0,12.0,,1.0,3.0,5.0,,4.0,,2.0,2.0,1.0,3.0,11.0,12.0,7.0,1.0,4.0,8.0,,,,,,1.0,,,,5.0,,,1.0,,,2.0,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,3.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08,1.0,6.0,5.0,,7.0,,1.0,1.0,,,4.0,1.0,,,7.0,11.0,1.0,,,3.0,,,,6.0,2.0,,2.0,8.0,2.0,2.0,,,6.0,,,,,,,,,1.0,1.0,,,,,,1.0,2.0,,,1.0,,,,,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-10,1.0,4.0,18.0,1.0,32.0,,1.0,,2.0,,9.0,,1.0,1.0,8.0,17.0,,,2.0,6.0,,6.0,2.0,5.0,2.0,,4.0,11.0,6.0,2.0,,7.0,14.0,,2.0,8.0,,,2.0,,,,5.0,2.0,,,,2.0,,3.0,,1.0,,,4.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,6.0,,2.0,,,1.0,,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2021-08-12,3.0,4.0,11.0,,24.0,,3.0,,2.0,1.0,13.0,,3.0,1.0,13.0,15.0,,1.0,4.0,2.0,,4.0,,4.0,,,4.0,15.0,6.0,2.0,4.0,8.0,17.0,,1.0,10.0,,2.0,1.0,,,,3.0,,2.0,,,,1.0,2.0,,,,,,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,5.0,3.0,,,,,1.0,,3.0,,,,1.0,,,,,38.0,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,3.0,5.0,23.0,,14.0,,,,2.0,,13.0,,1.0,,11.0,11.0,1.0,,2.0,6.0,,1.0,,3.0,2.0,,2.0,16.0,16.0,5.0,1.0,4.0,14.0,,,3.0,,,,,2.0,,2.0,1.0,,1.0,3.0,,4.0,2.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,3.0,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,1.0,,2.0,2.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15,1.0,2.0,7.0,,7.0,,1.0,1.0,1.0,,5.0,,1.0,1.0,10.0,6.0,,,4.0,1.0,,,,3.0,,,,10.0,1.0,2.0,,1.0,6.0,,1.0,3.0,,,,,,,2.0,1.0,,,,1.0,,3.0,,1.0,,,3.0,,,,,,1.0,,,,,,,,,,,,1.0,,3.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,2.0,5.0,15.0,1.0,18.0,,2.0,,,1.0,13.0,,2.0,,9.0,6.0,,,8.0,3.0,1.0,3.0,,,,,4.0,8.0,9.0,6.0,,2.0,13.0,,1.0,5.0,,2.0,2.0,,2.0,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,2.0,,,1.0,6.0,,,,,3.0,,1.0,1.0,1.0,,,,,,,8.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,1.0,3.0,14.0,1.0,16.0,,,2.0,,,19.0,,3.0,,8.0,21.0,1.0,,9.0,6.0,,4.0,,2.0,1.0,,1.0,23.0,13.0,9.0,,4.0,12.0,,,4.0,,2.0,1.0,,,,5.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,1.0,,,,,,,,,1.0,,2.0,,,,1.0,,,,4.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,1.0,5.0,19.0,,23.0,,,1.0,,1.0,4.0,,1.0,,14.0,8.0,1.0,,,2.0,3.0,2.0,1.0,4.0,,,5.0,6.0,9.0,1.0,2.0,1.0,9.0,,2.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,,,,,3.0,2.0,,,,2.0,1.0,,1.0,,4.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24,2.0,10.0,16.0,5.0,18.0,,3.0,,1.0,1.0,11.0,1.0,,,13.0,14.0,2.0,,1.0,10.0,,3.0,,2.0,,,5.0,13.0,5.0,5.0,1.0,3.0,15.0,,,,,,1.0,,2.0,1.0,3.0,4.0,,,,6.0,2.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,2.0,,2.0,,,,,1.0,,,,,4.0,1.0,,,,,,4.0,,,,,,,,,1.0,,1.0,,,1.0,3.0,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,1.0,1.0,13.0,,11.0,1.0,,,,,11.0,,2.0,1.0,10.0,17.0,,,,6.0,,3.0,1.0,4.0,1.0,,3.0,15.0,6.0,2.0,,3.0,11.0,,1.0,3.0,,,3.0,,1.0,,3.0,1.0,,,1.0,,2.0,2.0,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,1.0,,11.0,1.0,3.0,,2.0,,1.0,,7.0,,,,7.0,12.0,,,1.0,4.0,,,,2.0,2.0,,5.0,11.0,5.0,,,3.0,10.0,,,1.0,,,2.0,,,2.0,3.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,,1.0,,2.0,,2.0,,,,1.0,,3.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,2.0,7.0,13.0,1.0,16.0,,2.0,,,,12.0,,,,14.0,8.0,,1.0,7.0,8.0,,2.0,,4.0,,,3.0,13.0,13.0,5.0,,,13.0,,,4.0,,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,,,1.0,,,1.0,4.0,,,,,,3.0,,,,,1.0,,2.0,,,4.0,,2.0,,,1.0,,1.0,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,3.0,6.0,26.0,3.0,13.0,,,,,,1.0,,3.0,,5.0,11.0,,2.0,1.0,3.0,,,,1.0,,,2.0,15.0,12.0,4.0,,,11.0,,,1.0,,,,,,,4.0,1.0,,,,1.0,,,,1.0,,2.0,4.0,,,,3.0,1.0,,,2.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,2.0,3.0,,,,1.0,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2021-09-07,1.0,4.0,7.0,,13.0,,,,1.0,,8.0,4.0,5.0,,8.0,25.0,1.0,1.0,4.0,8.0,,1.0,,2.0,1.0,,4.0,17.0,10.0,26.0,1.0,5.0,9.0,1.0,,1.0,,1.0,1.0,,,,4.0,2.0,,1.0,,,,4.0,,2.0,,1.0,,,,,2.0,,,1.0,,,,,1.0,,,,,1.0,,,,,2.0,,,,1.0,,1.0,,5.0,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2021-09-08,2.0,12.0,16.0,2.0,11.0,,2.0,,2.0,,14.0,,2.0,1.0,4.0,12.0,,,,7.0,,1.0,1.0,5.0,,,3.0,14.0,28.0,22.0,,5.0,18.0,,1.0,3.0,,2.0,,,,,10.0,,,,1.0,4.0,,2.0,,,,,,,1.0,1.0,4.0,,,2.0,,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,1.0,3.0,6.0,4.0,13.0,,,,,,9.0,,1.0,,6.0,7.0,,,,,,1.0,,3.0,,,3.0,10.0,9.0,17.0,,2.0,8.0,,1.0,1.0,,3.0,5.0,,,,,1.0,,,,,3.0,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,10.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-13,1.0,7.0,8.0,,10.0,,,,,,18.0,1.0,5.0,2.0,14.0,7.0,3.0,,4.0,5.0,,6.0,,,1.0,,2.0,16.0,10.0,4.0,1.0,,14.0,,1.0,2.0,,3.0,2.0,,1.0,,4.0,,,,2.0,,1.0,1.0,,,,3.0,,,,,3.0,,,,,,,2.0,,,,,,1.0,,,2.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2021-09-14,1.0,6.0,21.0,5.0,16.0,,2.0,,,,22.0,1.0,,1.0,3.0,10.0,,,,7.0,,3.0,,7.0,,,2.0,17.0,8.0,3.0,,5.0,10.0,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,5.0,,2.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2021-09-15,2.0,6.0,20.0,1.0,15.0,,2.0,,1.0,,15.0,2.0,,,4.0,12.0,,,2.0,5.0,,3.0,1.0,5.0,3.0,,1.0,13.0,9.0,6.0,,,17.0,1.0,1.0,4.0,,,2.0,,1.0,,2.0,,,,,1.0,1.0,2.0,,,,,,,,,3.0,,1.0,1.0,,,2.0,,,,,,,1.0,1.0,2.0,4.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,1.0,4.0,8.0,1.0,8.0,,2.0,2.0,2.0,,12.0,,,2.0,8.0,7.0,1.0,1.0,1.0,6.0,,1.0,2.0,5.0,3.0,,1.0,15.0,2.0,3.0,,2.0,3.0,,,1.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,5.0,,,,,,1.0,,,,,,,,,2.0,2.0,,,,4.0,,,,,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,2.0,3.0,12.0,,9.0,,2.0,1.0,2.0,,5.0,,,,2.0,7.0,,,2.0,5.0,,,,1.0,1.0,,,5.0,3.0,4.0,,2.0,6.0,,3.0,,,,1.0,,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
2021-09-20,1.0,4.0,15.0,1.0,27.0,,4.0,,1.0,,11.0,1.0,3.0,,19.0,14.0,,1.0,1.0,2.0,,2.0,,5.0,4.0,,2.0,9.0,8.0,7.0,,,12.0,,,3.0,,3.0,2.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,4.0,,,2.0,,,,,,,1.0,,,,1.0,,,2.0,2.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-21,1.0,3.0,21.0,1.0,16.0,,8.0,1.0,4.0,,12.0,,2.0,,12.0,3.0,2.0,,,4.0,,3.0,,3.0,3.0,,3.0,10.0,12.0,3.0,,1.0,21.0,,1.0,5.0,,3.0,,,1.0,,5.0,,,,2.0,1.0,1.0,3.0,,,,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,2.0,4.0,,2.0,,,,2.0,,,,,1.0,,,2.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2021-09-23,1.0,7.0,21.0,,18.0,,1.0,,,,6.0,,1.0,,10.0,8.0,1.0,,1.0,9.0,,4.0,2.0,3.0,,,3.0,14.0,9.0,5.0,2.0,2.0,25.0,,1.0,3.0,1.0,,,1.0,,1.0,5.0,1.0,,1.0,,2.0,2.0,,,2.0,1.0,,6.0,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,5.0,,,,1.0,,1.0,,,,3.0,1.0,,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
2021-09-24,1.0,4.0,9.0,2.0,7.0,,5.0,,3.0,,10.0,,,,9.0,10.0,,,2.0,4.0,,1.0,1.0,3.0,1.0,,2.0,8.0,8.0,5.0,3.0,2.0,11.0,,5.0,3.0,,2.0,,,2.0,,2.0,1.0,1.0,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,5.0,,1.0,,,,,,,6.0,6.0,,,,,2.0,,,,1.0,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,2.0,6.0,3.0,,12.0,,6.0,,,1.0,7.0,,2.0,,7.0,12.0,2.0,,2.0,,,3.0,1.0,2.0,,,2.0,8.0,3.0,1.0,,4.0,5.0,,,1.0,,2.0,6.0,,1.0,,1.0,,,,,,5.0,,,,,2.0,2.0,,,1.0,4.0,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-27,1.0,5.0,28.0,2.0,12.0,,7.0,,2.0,,5.0,,2.0,,9.0,6.0,1.0,,,2.0,,2.0,2.0,2.0,,,2.0,14.0,6.0,3.0,,1.0,10.0,1.0,3.0,1.0,,1.0,6.0,,2.0,1.0,6.0,1.0,,,,1.0,1.0,4.0,,,,,1.0,,1.0,,3.0,,4.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-28,1.0,3.0,11.0,1.0,18.0,,2.0,,1.0,,13.0,,2.0,1.0,11.0,17.0,1.0,,2.0,5.0,,,,3.0,2.0,,2.0,11.0,6.0,4.0,1.0,1.0,17.0,,,3.0,,,2.0,,2.0,2.0,3.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-29,1.0,7.0,31.0,1.0,14.0,,1.0,4.0,,,11.0,,2.0,,10.0,10.0,1.0,,1.0,5.0,1.0,,,4.0,3.0,,3.0,13.0,10.0,5.0,7.0,3.0,11.0,1.0,1.0,4.0,,,3.0,,2.0,1.0,5.0,2.0,1.0,,1.0,,,2.0,,,,,1.0,,1.0,,2.0,,,1.0,,,2.0,,,,,,,,,,2.0,,1.0,,1.0,,4.0,,,1.0,2.0,,1.0,,1.0,1.0,,8.0,1.0,,,1.0,,3.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,3.0,5.0,30.0,5.0,17.0,,,,,,51.0,,4.0,,19.0,11.0,,,,9.0,,,,2.0,2.0,,1.0,17.0,12.0,5.0,1.0,,18.0,1.0,1.0,2.0,,1.0,3.0,,1.0,1.0,9.0,,1.0,,,2.0,,5.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,3.0,,,,2.0,,,,2.0,1.0,,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,3.0,5.0,7.0,1.0,9.0,,6.0,1.0,1.0,,22.0,,2.0,2.0,9.0,6.0,,,,3.0,,3.0,,2.0,,,1.0,10.0,1.0,3.0,,1.0,7.0,,2.0,,,1.0,,,,,2.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-03,3.0,2.0,8.0,,12.0,,2.0,,3.0,,13.0,,3.0,,7.0,7.0,,,1.0,2.0,,,,1.0,,,1.0,4.0,3.0,1.0,,,1.0,,,,,,,,,,3.0,,,,,1.0,,,,2.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04,1.0,7.0,16.0,1.0,20.0,,,,1.0,,55.0,1.0,5.0,,16.0,12.0,,,2.0,10.0,,1.0,,4.0,1.0,,2.0,18.0,12.0,2.0,,1.0,17.0,1.0,2.0,8.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,4.0,1.0,2.0,,,,5.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,2.0,,3.0,1.0,2.0,,,4.0,1.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-05,1.0,3.0,20.0,2.0,31.0,,,,,,100.0,1.0,1.0,1.0,20.0,10.0,2.0,,,17.0,,7.0,,8.0,3.0,,2.0,43.0,11.0,8.0,,1.0,21.0,,,1.0,1.0,3.0,1.0,,3.0,,8.0,,,,,,,1.0,,1.0,,,,,,,1.0,,3.0,,,,1.0,1.0,1.0,,,,,1.0,,,4.0,,,,,,1.0,,,1.0,2.0,,2.0,1.0,,2.0,,1.0,4.0,2.0,,1.0,,,,,1.0,,1.0,,,2.0,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-07,1.0,5.0,22.0,,25.0,,2.0,1.0,4.0,,52.0,2.0,2.0,1.0,11.0,17.0,,1.0,1.0,5.0,,,,4.0,2.0,1.0,5.0,22.0,13.0,2.0,1.0,,22.0,1.0,,,,1.0,1.0,1.0,3.0,,7.0,,1.0,,,1.0,2.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
